DUID,Owner,Number of Units,Nameplate Capacity (MW)
CROWLWF1,Pacific Hydro Crowlands Pty Ltd,39.0,79.95
CRURWF1,CRWF Nominees Pty Ltd as trustee of the CRWF Trust,37.0,141.71
,Culcairn Solar Farm Pty Ltd as trustee for Culcairn Solar Farm Trust,111.0,0.22 - 349.98
CULLRGWF,Cullerin Range Wind Farm Pty Ltd,15.0,30
,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust,104.0,357.45
,Dalby Asset Trust,1.0,4.94
DALNTH1,ElectraNet,12.0,30
,Tilt Renewables Australia Pty Ltd,1.0,250
,BORAL,1.0,4.2
DDPS1,Origin Energy Power Limited,1.0,280
DDPS1,Origin Energy Power Limited,3.0,364.5
,BORAL,1.0,250
,BORAL,1.0,250
,APA Group,1.0,200
DDSF1,Darling Downs Solar Farm Pty Ltd,44.0,121
DPNTB1,DPESS Pty Ltd,1.0,25
DARLSF1,Darlington Point Solar Farm Pty Ltd,108.0,274.97
,globalpower-generation_NR,50.0,360
,Pacific Hydro Australia Developments Pty Ltd,1.0,100
DARTM1,AGL Hydro Partnership,1.0,185
,Green Gold Energy Pty Ltd,1.0,270
,Highland Energy Australia Pty Ltd,1.0,560
DAYDSF1,The Daydream Solar Farm Trust,61.0,167.75
,BayWa r.e. Australia Offshore Wind Projects 1 Pty Ltd,165.0,2970
,BayWa r.e. Australia Offshore Wind Projects 2 Pty Ltd,212.0,2968
,ACEN Renewables,1.0,700
,Mint Renewables,1.0,200
,Ib vogt Development Australia Pty Ltd,46.0,139.84
,Ib vogt Development Australia Pty Ltd,46.0,139.84
,Delburn Wind Farm Pty Ltd,33.0,204.60 - 217.80
,Enervest Pty Ltd,1.0,150
,BESS Arctic Pty Ltd,1.0,100
,NEMMCOM Renewables Australia Developments Pty Ltd,572.0,2402.4
,DERBY SOLAR PROJECT PTY LTD ,1.0,95
,DERBY SOLAR PROJECT PTY LTD ,30.0,95.1
, West Coast Renewable Energy,1.0,150
DEVILS_G,Hydro-Electric Corporation,1.0,60
,Devlins Bridge Wind Farm Holdco Pty Ltd ,1.0,600
,Devlins Bridge Wind Farm Holdco Pty Ltd ,94.0,662.7
DIAPURWF1,Diapur Wind Farm Pty Ltd,2.0,8
,Spark Renewables Pty Ltd,1.0,300
,Spark Renewables Pty Ltd,1.0,300
,Spark Renewables Pty Ltd,56.0,403.2
,Spark Renewables Pty Ltd,56.0,403.2
,Spark Renewables Pty Ltd,56.0,403.2
,ESCO Pacific,1.0,85
,BESS DIREK PTY LTD,1.0,20
,BZ Renewables Holdings Pty Ltd,1.0,800
DRYCGT1,Synergen Power Pty Ltd,1.0,52
DRYCGT2,Synergen Power Pty Ltd,1.0,52
DRYCGT3,Synergen Power Pty Ltd,1.0,52
,MMG,1.0,144
DULAWF1,Dulacca Energy Project Co Pty Ltd,43.0,172.99
,Dumaresq Solar Farm Pty Limited,1.0,188
DUNDWF2,Tilt Renewables,11.0,46.2
DUNDWF3,Tilt Renewables,29.0,121.8
DUNDWF1,Tilt Renewables,40.0,168
,ib vogt GmbH / Sun Spot 4,1.0,55
,Dungowan Pumped Hydro Pty Ltd,2.0,300
,Samsung C&T,63.0,226.8
,Samsung C&T,95.0,361
EASTCRK,EDL LFG NSW Pty Ltd,4.0,5.06
EASTCRK2,LMS Energy Pty Ltd,4.0,4.49
,Eastern Rise OWP Project Pty Ltd,115.0,1725
,Voltere Pty Ltd.,84.0,350.28
,Voltere Pty Ltd.,1.0,350
,OceanEx Energy,1.0,2000
EDENVSF1,Edenvale Solar Park Pty Ltd,1.0,180
EILDON1,AGL Hydro Partnership,1.0,7.5
EILDON1,AGL Hydro Partnership,1.0,60
EILDON2,AGL Hydro Partnership,1.0,7.5
EILDON2,AGL Hydro Partnership,1.0,60
EILDON3,Pacific Hydro Investments Pty Ltd,1.0,4.5
,Elai Energy Pty Ltd,1.0,60.00 - 120.00
,Elaine ProjectCo Pty Ltd,336.0,311.14
, Elgin Energy Pty Ltd,1.0,125
, Elgin Energy Pty Ltd,1.0,125
ELAINWF1,Northleaf /InfraRed/Macquarie Capital,22.0,83.6
EMERASF1,Lighthouse Infrastructure Management Limited,32.0,72
,Potentia Energy Group Pty Ltd,14.0,40.04 - 61.46
,M Renweables Australia,60.0,199.8
,M Renweables Australia,75.0,300
ER01,Origin Energy Eraring Pty Ltd,1.0,720
ER02,Origin Energy Eraring Pty Ltd,1.0,720
ER03,Origin Energy Eraring Pty Ltd,1.0,720
ER04,Origin Energy Eraring Pty Ltd,1.0,720
